"Date","Island","Site","Temperature","Salinity","Chlorophyll","Iron","Nitrate","Phosphate","Silicate","Oxygen","pH"
1993-01-01,"María Madre","Madre3",25.1718120574951,34.2410202026367,0.129020512104034,0.000758845824748278,0.00603400589898229,0.260222524404526,3.26219248771667,206.433349609375,8.06427383422852
1993-02-01,"María Madre","Madre3",23.4514560699463,34.3579597473145,0.141102761030197,0.000715836882591248,0.00625297427177429,0.318259000778198,3.25883674621582,210.618865966797,8.0675630569458
1993-03-01,"María Madre","Madre3",24.1174983978271,34.3659973144531,0.132638648152351,0.0015080445446074,0.00715251825749874,0.333286195993423,3.72149467468262,213.037658691406,8.06700420379639
1993-04-01,"María Madre","Madre3",24.180269241333,34.3635101318359,0.135114580392838,0.00151727756019682,0.0102456957101822,0.308672100305557,3.7465488910675,213.433837890625,8.06226062774658
1993-05-01,"María Madre","Madre3",25.8184299468994,34.3057594299316,0.136576682329178,0.00147434172686189,0.00766465393826365,0.214259818196297,3.43085885047913,208.297958374023,8.05256175994873
1993-06-01,"María Madre","Madre3",27.6192760467529,33.8604621887207,0.173300877213478,0.0018395537044853,0.0108256097882986,0.170636028051376,3.4676501750946,205.899948120117,8.04473686218262
1993-07-01,"María Madre","Madre3",28.3485813140869,34.1355781555176,0.188955083489418,0.001153395161964,0.014140565879643,0.165675789117813,3.27636170387268,201.891143798828,8.03579139709473
1993-08-01,"María Madre","Madre3",29.2599620819092,33.7201118469238,0.231214836239815,0.00133578351233155,0.0141438059508801,0.0971799418330193,3.27957630157471,200.983825683594,8.04746437072754
1993-09-01,"María Madre","Madre3",28.5429153442383,33.5682716369629,0.159231096506119,0.000904909684322774,0.0110385119915009,0.151014432311058,3.21391701698303,200.131576538086,8.04120826721191
1993-10-01,"María Madre","Madre3",29.2336864471436,33.567798614502,0.147798672318459,0.00113269209396094,0.00854573212563992,0.1236687079072,3.67930221557617,199.727615356445,8.03738212585449
1993-11-01,"María Madre","Madre3",27.609977722168,33.5467872619629,0.131103441119194,0.00124382355716079,0.00632659392431378,0.108296051621437,3.97173857688904,202.268356323242,8.06072044372559
1993-12-01,"María Madre","Madre3",26.5259017944336,33.9416007995605,0.121519677340984,0.00108414993155748,0.00611102161929011,0.148306012153625,3.71977591514587,206.648666381836,8.07073402404785
1994-01-01,"María Madre","Madre3",24.9099025726318,34.212963104248,0.126965880393982,0.000801724323537201,0.00629061181098223,0.182530626654625,3.42386984825134,210.898956298828,8.0810489654541
1994-02-01,"María Madre","Madre3",23.6073055267334,34.259880065918,0.13179025053978,0.000775139778852463,0.00706697115674615,0.226909831166267,3.44699096679688,215.147201538086,8.0831241607666
1994-03-01,"María Madre","Madre3",23.0633029937744,34.4244346618652,0.115747556090355,0.000858583254739642,0.00742406584322453,0.247602373361588,3.36962509155273,217.039291381836,8.08203601837158
1994-04-01,"María Madre","Madre3",24.1480274200439,34.4610786437988,0.130593493580818,0.00142707384657115,0.0105830477550626,0.241970881819725,3.46242117881775,216.674774169922,8.07090950012207
1994-05-01,"María Madre","Madre3",26.3083610534668,33.9782447814941,0.169057205319405,0.00258374051190913,0.0120289362967014,0.180396884679794,3.99351024627686,210.613128662109,8.05718994140625
1994-06-01,"María Madre","Madre3",28.2050495147705,33.894359588623,0.187166482210159,0.00215957639738917,0.0124856801703572,0.18017765879631,3.04064106941223,206.250747680664,8.02953147888184
1994-07-01,"María Madre","Madre3",29.809398651123,33.7473106384277,0.163619711995125,0.000997300492599607,0.0105474535375834,0.142466068267822,2.87669062614441,200.370986938477,8.00946998596191
1994-08-01,"María Madre","Madre3",29.6127910614014,33.8760643005371,0.162420839071274,0.000871440686751157,0.00952346622943878,0.151346310973167,2.7702305316925,199.333145141602,8.00378608703613
1994-09-01,"María Madre","Madre3",30.3203086853027,33.3553047180176,0.280976414680481,0.00155975134111941,0.0315616317093372,0.0596443340182304,3.71612930297852,199.733734130859,8.0328369140625
1994-10-01,"María Madre","Madre3",29.3623905181885,33.9978713989258,0.168829843401909,0.00129841256421059,0.010440532118082,0.0847240313887596,3.60520243644714,198.798385620117,8.03174304962158
1994-11-01,"María Madre","Madre3",28.2188949584961,33.7588920593262,0.117504552006721,0.00100504630245268,0.00598642462864518,0.13020184636116,3.19049048423767,202.898544311523,8.03320693969727
1994-12-01,"María Madre","Madre3",26.3778343200684,34.1719398498535,0.123954609036446,0.00100574421230704,0.00604094751179218,0.152880653738976,3.18603038787842,206.472793579102,8.05728435516357
1995-01-01,"María Madre","Madre3",25.3936500549316,34.233211517334,0.16374696791172,0.00100865471176803,0.00642388826236129,0.15162156522274,3.36447882652283,209.321090698242,8.07928848266602
1995-02-01,"María Madre","Madre3",24.4569225311279,34.3006706237793,0.170222118496895,0.000687558494973928,0.00707564735785127,0.15397173166275,3.00224351882935,211.371398925781,8.08751773834229
1995-03-01,"María Madre","Madre3",24.0623779296875,34.2405891418457,0.124499075114727,0.000919127312954515,0.00698618311434984,0.156249910593033,3.16117334365845,212.830764770508,8.08360576629639
1995-04-01,"María Madre","Madre3",23.7430953979492,34.4085845947266,0.120445385575294,0.00128209695685655,0.00834084767848253,0.189259305596352,3.24210476875305,214.115463256836,8.06992340087891
1995-05-01,"María Madre","Madre3",25.2090816497803,34.3016090393066,0.146280169487,0.00178545364178717,0.0104894498363137,0.165159866213799,3.61618161201477,210.771865844727,8.05415439605713
1995-06-01,"María Madre","Madre3",27.5632286071777,33.7250366210938,0.201600894331932,0.00213783490471542,0.016141515225172,0.118406526744366,2.95469498634338,205.274261474609,8.04758930206299
1995-07-01,"María Madre","Madre3",29.2491607666016,34.0898551940918,0.180542290210724,0.00127084390260279,0.0123869450762868,0.0446204282343388,2.58948278427124,199.907119750977,8.03114318847656
