Fecha,Mes,Isla,Sitio,Transecto,Área,Latitud,Longitud,Monitor,Temperatura,Profundidad,Especie,Talla,Abundancia,a,b
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Thalassoma_lucasanum,1.3,150,0.0079,2.99
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Thalassoma_lucasanum,3.8,40,0.0079,2.99
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Halichoeres_dispilus,1.3,19,0.0038,3
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Halichoeres_dispilus,3.8,20,0.0038,3
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Halichoeres_dispilus,7.5,4,0.0038,3
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Sufflamen_verres,17.5,3,0.0234,2.95
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Sufflamen_verres,37.5,1,0.0234,2.95
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Halichoeres_chierchiae,1.3,6,0.01,3.08
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Halichoeres_chierchiae,3.8,1,0.01,3.08
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Scarus_rubroviolaceus,37.5,1,0.028,3.04
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Acanthurus_xanthopterus,3.8,6,0.086,3
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Acanthurus_xanthopterus,7.5,6,0.086,3
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Stegastes_flavilatus,1.3,13,0.095,2.99
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Stegastes_flavilatus,7.5,8,0.095,2.99
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Epinephelus_labriformis,17.5,1,0.054,3.05
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Epinephelus_labriformis,22.5,1,0.054,3.05
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Lutjanus_argentiventris,27.5,2,0.054,2.97
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Cephalopholis_panamensis,7.5,1,0.044,3.07
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Cephalopholis_panamensis,37.5,1,0.044,3.07
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Serranus_psittacinus,7.5,1,0.007,3.06
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Prionurus_laticlavius,27.5,1,0.099,3
15/10/2023,Octubre,Madre,Madre3,Madre3_15Oct23_1,100,21.62649,-106.52919,Arturo_Ayala_Bocos,31,4,Prionurus_laticlavius,37.5,1,0.099,3
